timestamp,uav_id,x,y,z,vx,vy,vz,speed
0.0,0,39.9816,181.7161,41.3146,0.0,0.0,0.0,0.0
0.0,1,1.4725,139.9414,44.808,0.0,0.0,0.0,0.0
0.0,2,157.3849,53.174,7.0125,0.0,0.0,0.0,0.0
0.0,3,132.9702,193.8353,27.7018,0.0,0.0,0.0,0.0
0.0,4,141.0331,155.7502,5.4288,0.0,0.0,0.0,0.0
0.0,5,156.1458,143.378,33.612,0.0,0.0,0.0,0.0
0.0,6,91.7832,89.8723,14.0617,0.0,0.0,0.0,0.0
0.0,7,113.7482,54.4483,32.9711,0.0,0.0,0.0,0.0
0.0,8,27.9594,19.2782,36.3497,0.0,0.0,0.0,0.0
0.0,9,22.906,180.5205,38.4324,0.0,0.0,0.0,0.0
0.0,10,133.6806,91.1553,5.387,0.0,0.0,0.0,0.0
0.0,11,94.2192,40.4727,45.8006,0.0,0.0,0.0,0.0
0.0,12,113.0472,61.1913,11.5107,0.0,0.0,0.0,0.0
0.0,13,152.9998,115.8439,1.8706,0.0,0.0,0.0,0.0
0.0,14,126.9437,35.3546,27.7426,0.0,0.0,0.0,0.0
0.0,15,110.7159,171.3229,18.5461,0.0,0.0,0.0,0.0
0.0,16,111.8414,151.7039,41.4895,0.0,0.0,0.0,0.0
0.0,17,60.79,143.8926,40.4126,0.0,0.0,0.0,0.0
0.0,18,6.1636,86.4186,15.8569,0.0,0.0,0.0,0.0
0.0,19,87.3435,125.4618,47.645,0.0,0.0,0.0,0.0
0.0,20,42.9169,116.8196,14.5459,0.0,0.0,0.0,0.0
0.0,21,81.7057,129.9693,25.7529,0.0,0.0,0.0,0.0
0.0,22,170.6806,16.8889,12.7983,0.0,0.0,0.0,0.0
0.0,23,46.7879,83.1615,46.8022,0.0,0.0,0.0,0.0
0.0,24,11.6605,8.3228,8.2304,0.0,0.0,0.0,0.0
0.0,25,56.2768,98.7982,2.2455,0.0,0.0,0.0,0.0
0.0,26,58.7188,65.9722,21.7549,0.0,0.0,0.0,0.0
0.0,27,132.3833,28.9048,49.6188,0.0,0.0,0.0,0.0
0.0,28,111.4064,20.6806,44.5839,0.0,0.0,0.0,0.0
0.0,29,156.7796,117.5289,37.4304,0.0,0.0,0.0,0.0
0.0,30,132.8627,34.1186,44.5396,0.0,0.0,0.0,0.0
0.0,31,81.2774,185.024,44.6723,0.0,0.0,0.0,0.0
0.0,32,162.8041,116.2122,25.9429,0.0,0.0,0.0,0.0
0.0,33,33.3946,69.374,15.7965,0.0,0.0,0.0,0.0
0.0,34,4.5424,118.1831,38.6006,0.0,0.0,0.0,0.0
0.0,35,18.0096,4.5608,33.0831,0.0,0.0,0.0,0.0
0.0,36,144.4719,191.7118,18.6829,0.0,0.0,0.0,0.0
0.0,37,92.3754,96.4607,4.7233,0.0,0.0,0.0,0.0
0.0,38,32.2544,156.547,37.3395,0.0,0.0,0.0,0.0
0.0,39,100.209,16.546,13.123,0.0,0.0,0.0,0.0
0.0,40,30.4624,97.3317,46.8407,0.0,0.0,0.0,0.0
0.0,41,139.2641,98.1414,12.0485,0.0,0.0,0.0,0.0
0.0,42,89.2313,187.5653,6.1379,0.0,0.0,0.0,0.0
0.0,43,76.2042,114.3456,41.5556,0.0,0.0,0.0,0.0
0.0,44,60.3024,94.6979,7.6642,0.0,0.0,0.0,0.0
0.0,45,126.0565,53.3951,8.9634,0.0,0.0,0.0,0.0
0.0,46,72.3625,66.3138,29.9691,0.0,0.0,0.0,0.0
0.0,47,17.53,104.1345,43.7281,0.0,0.0,0.0,0.0
