timestamp,state,traffic_rate,traffic_rate_unit,tdma_delay,csma_delay,delay_unit,tdma_throughput,csma_throughput,throughput_unit,qlearning_selected_mac,reward_tdma,reward_csma,q_tdma_before,q_csma_before,q_tdma_after,q_csma_after,reward_selected,epsilon,alpha,gamma,n_bins
0,0,50.0,pps,0.04606084337349397,0.001885228915662639,s,0.3984,0.3984,Mbps,CSMA_CA,0.200000000002517,0.34999999999912146,0.0,0.0,0.200000000002517,0.34999999999912146,0.34999999999912146,0.0,1.0,0.0,10
1,0,100.0,pps,0.05045388712871282,0.002018403474903478,s,0.808,0.8288,Mbps,CSMA_CA,0.19121621621890147,0.34999999999957765,0.200000000002517,0.34999999999912146,0.19121621621890147,0.34999999999957765,0.34999999999957765,0.0,1.0,0.0,10
2,1,150.0,pps,0.05499668617021277,0.002174583037300162,s,1.2032,1.2010666666666667,Mbps,CSMA_CA,0.20000000000254875,0.34937943262382304,0.0,0.0,0.20000000000254875,0.34937943262382304,0.34937943262382304,0.0,1.0,0.0,10
3,1,200.0,pps,0.06150781500000009,0.0023430832219251364,s,1.6,1.5957333333333332,Mbps,CSMA_CA,0.2000000000023165,0.3490666666664484,0.20000000000254875,0.34937943262382304,0.2000000000023165,0.3490666666664484,0.3490666666664484,0.0,1.0,0.0,10
4,2,250.0,pps,0.07019738985736919,0.002588273990561083,s,2.0192,2.034133333333333,Mbps,CSMA_CA,0.1974305191420584,0.3499999999998279,0.0,0.0,0.1974305191420584,0.3499999999998279,0.3499999999998279,0.0,1.0,0.0,10
5,2,300.0,pps,0.07477391705937812,0.0027205207512172656,s,2.2634666666666665,2.3002666666666665,Mbps,CSMA_CA,0.19440064920202477,0.3499999999998478,0.1974305191420584,0.3499999999998279,0.19440064920202477,0.3499999999998478,0.3499999999998478,0.0,1.0,0.0,10
6,3,350.0,pps,0.093508382234957,0.0032962646833013588,s,2.792,2.7786666666666666,Mbps,CSMA_CA,0.2000000000015374,0.3483285577840204,0.0,0.0,0.2000000000015374,0.3483285577840204,0.3483285577840204,0.0,1.0,0.0,10
7,3,400.0,pps,0.11898590513245055,0.0038046329305135938,s,3.2213333333333334,3.1776,Mbps,CSMA_CA,0.20000000000119367,0.3452483443707537,0.2000000000015374,0.3483285577840204,0.20000000000119367,0.3452483443707537,0.3452483443707537,0.0,1.0,0.0,10
8,4,450.0,pps,0.14190885301563638,0.004783173791821528,s,3.5813333333333337,3.4432,Mbps,CSMA_CA,0.2000000000009962,0.33650037230072505,0.0,0.0,0.2000000000009962,0.33650037230072505,0.33650037230072505,0.0,1.0,0.0,10
9,4,500.0,pps,0.19409529769671127,0.0055638078216989455,s,4.005866666666667,3.8048,Mbps,CSMA_CA,0.20000000000070825,0.33243243243234943,0.2000000000009962,0.33650037230072505,0.20000000000070825,0.33243243243234943,0.33243243243234943,0.0,1.0,0.0,10
10,5,550.0,pps,0.3249211414364641,0.00717400222980066,s,4.344,4.066133333333333,Mbps,CSMA_CA,0.20000000000039145,0.3276120319213487,0.0,0.0,0.20000000000039145,0.3276120319213487,0.3276120319213487,0.0,1.0,0.0,10
11,5,600.0,pps,0.5135417643421527,0.008912875726193493,s,4.6576,4.222933333333333,Mbps,CSMA_CA,0.20000000000022206,0.31733653956251046,0.20000000000039145,0.3276120319213487,0.20000000000022206,0.31733653956251046,0.31733653956251046,0.0,1.0,0.0,10
12,6,650.0,pps,0.7501354605992069,0.009548652152089348,s,4.717333333333333,4.250133333333333,Mbps,CSMA_CA,0.2000000000001283,0.3153363482192661,0.0,0.0,0.2000000000001283,0.3153363482192661,0.3153363482192661,0.0,1.0,0.0,10
13,6,700.0,pps,0.9782201174463395,0.011303591773331673,s,4.845333333333333,4.291733333333333,Mbps,CSMA_CA,0.2000000000000829,0.3100110071545865,0.2000000000001283,0.3153363482192661,0.2000000000000829,0.3100110071545865,0.3100110071545865,0.0,1.0,0.0,10
14,7,750.0,pps,1.3822156661568745,0.012672996011964087,s,4.882133333333333,4.279466666666667,Mbps,CSMA_CA,0.20000000000003784,0.3067948437840753,0.0,0.0,0.20000000000003784,0.3067948437840753,0.3067948437840753,0.0,1.0,0.0,10
15,7,800.0,pps,1.7750199951219507,0.013437256339787674,s,4.92,4.269333333333333,Mbps,CSMA_CA,0.20000000000001397,0.3037127371273095,0.20000000000003784,0.3067948437840753,0.20000000000001397,0.3037127371273095,0.3037127371273095,0.0,1.0,0.0,10
16,8,850.0,pps,2.0756452480502574,0.014167377654895053,s,4.923733333333333,4.243733333333333,Mbps,CSMA_CA,0.20000000000000165,0.30166269497394216,0.0,0.0,0.20000000000000165,0.30166269497394216,0.30166269497394216,0.0,1.0,0.0,10
17,8,900.0,pps,2.3707373348827208,0.015260002659574522,s,4.933866666666667,4.2112,Mbps,CSMA_CA,0.1999999999999927,0.29873527186244075,0.20000000000000165,0.30166269497394216,0.1999999999999927,0.29873527186244075,0.29873527186244075,0.0,1.0,0.0,10
18,9,950.0,pps,2.6215182122488687,0.015259731487361887,s,4.9376,4.198933333333333,Mbps,CSMA_CA,0.19999999999998666,0.2976398790234869,0.0,0.0,0.19999999999998666,0.2976398790234869,0.2976398790234869,0.0,1.0,0.0,10
19,9,1000.0,pps,2.8251027410328384,0.016063315742282536,s,4.936533333333333,4.163733333333333,Mbps,CSMA_CA,0.1999999999999825,0.2952085133966558,0.19999999999998666,0.2976398790234869,0.1999999999999825,0.2952085133966558,0.2952085133966558,0.0,1.0,0.0,10
