step,reward
200,-11.629746
400,-14.722916
600,-15.888993
800,-15.216507
1000,-14.721105
1200,-15.279061
1400,-15.639773
1600,-16.119046
1800,-15.933629
2000,-14.641472
2200,-15.955491
2400,-15.368692
2600,-14.376498
2800,-15.24043
3000,-15.335409
3200,-14.559634
3400,-14.770107
3600,-15.3519
3800,-15.963172
4000,-15.952745
4200,-14.962524
4400,-14.756365
4600,-16.320706
4800,-16.247095
5000,-15.572282
5200,-15.046784
5400,-16.143401
5600,-15.41361
5800,-15.256737
6000,-15.377519
6200,-16.400066
6400,-16.234497
6600,-15.38838
6800,-15.247957
7000,-14.709341
7200,-17.112996
7400,-15.210915
7600,-12.458886
7800,-15.427321
8000,-14.532493
8200,-2.561536
8400,-15.573077
8600,-15.062725
8800,-14.523383
9000,-16.193721
9200,-16.794975
9400,-15.337912
9600,-15.688409
9800,-16.477479
10000,-14.908196
10200,-15.247713
