step,reward
200,-14.875428
400,-13.827979
600,-14.854422
800,-14.578688
1000,-15.02241
1200,-15.190196
1400,-14.50841
1600,-14.824191
1800,-15.011169
2000,-14.136217
2200,-14.083837
2400,-14.988741
2600,-14.926426
2800,-14.983947
3000,-15.658207
3200,-15.297883
3400,-14.910776
3600,-15.092083
3800,-15.94593
4000,-15.450945
4200,-14.774705
4400,-14.931231
4600,-14.25539
4800,-15.498332
5000,-15.535327
5200,-14.605464
5400,-15.101251
5600,-13.646975
5800,-14.263847
6000,-14.214423
6200,-14.713224
6400,-13.81568
6600,-15.655723
6800,-14.794596
7000,-13.729241
7200,-14.747503
7400,-14.925805
7600,-13.549674
7800,-14.392617
8000,-14.342343
8200,-0.342588
8400,-14.875837
8600,-15.113724
8800,-14.136743
9000,-13.67365
9200,-16.080144
9400,-15.32025
9600,-13.848343
9800,-14.688946
10000,-13.411551
