step,reward
200,-14.794306
400,-13.722278
600,-14.90182
800,-14.580473
1000,-15.244864
1200,-15.442208
1400,-14.571827
1600,-14.407304
1800,-15.879151
2000,-14.418545
2200,-14.260946
2400,-14.807476
2600,-15.213743
2800,-15.075321
3000,-14.652088
3200,-14.294727
3400,-14.903318
3600,-15.124955
3800,-15.01388
4000,-12.612389
4200,-14.917747
4400,-14.210049
4600,-14.461968
4800,-15.571262
5000,-15.192832
5200,-14.400703
5400,-15.556603
5600,-13.391251
5800,-14.816889
6000,-13.988258
6200,-15.835179
6400,-12.628206
6600,-14.74095
6800,-15.146166
7000,-13.387083
7200,-12.615072
7400,-13.974683
7600,-13.52926
7800,-13.010216
8000,-13.900134
8200,-0.315237
8400,-14.788891
8600,-14.571961
8800,-14.01629
9000,-13.958977
9200,-15.351303
9400,-14.19471
9600,-13.957458
9800,-14.927273
10000,-13.724132
