step,reward
200,-14.220132
400,-13.603185
600,-14.826813
800,-14.445156
1000,-14.280832
1200,-15.220749
1400,-13.989191
1600,-14.284404
1800,-14.645315
2000,-15.264881
2200,-14.627685
2400,-14.121361
2600,-15.482156
2800,-15.297965
3000,-13.382217
3200,-13.288951
3400,-15.210889
3600,-15.612975
3800,-14.585461
4000,-15.265177
4200,-14.700044
4400,-13.840225
4600,-14.165709
4800,-15.47018
5000,-14.30246
5200,-15.940388
5400,-16.177727
5600,-14.265688
5800,-14.415831
6000,-15.040709
6200,-15.515622
6400,-12.996982
6600,-14.581157
6800,-14.659188
7000,-14.167292
7200,-16.647776
7400,-15.048156
7600,-13.451931
7800,-14.083227
8000,-14.873792
8200,-14.29934
8400,-14.43828
8600,-14.475047
8800,-13.373533
9000,-13.888039
9200,-17.202136
9400,-13.962922
9600,-14.108067
9800,-15.820254
10000,-14.225996
