step,reward
200,-14.426039
400,-14.17611
600,-16.978996
800,-15.358967
1000,-17.447542
1200,-15.277143
1400,-13.035048
1600,-14.239252
1800,-9.756496
2000,-14.718102
2200,-14.602064
2400,-14.026721
2600,-14.944756
2800,-14.659699
3000,-14.409125
3200,-14.609201
3400,-14.839641
3600,-14.963563
3800,-13.832916
4000,-14.485504
4200,-14.492401
4400,-13.037537
4600,-14.242165
4800,-16.36714
5000,-14.645301
5200,-14.203111
5400,-16.742682
5600,-14.269152
5800,-14.284412
6000,-14.859864
6200,-15.279869
6400,-12.831845
6600,-14.48708
6800,-14.791267
7000,-14.170126
7200,-13.457799
7400,-14.061265
7600,-13.782238
7800,-14.179163
8000,-14.965305
8200,-14.194169
8400,-14.831892
8600,-14.233707
8800,-12.835467
9000,-13.757886
9200,-15.192783
9400,-13.976838
9600,-13.506024
9800,-15.855172
10000,-13.253951
