step,reward
200,-14.390895
400,-14.186688
600,-16.06618
800,-15.298991
1000,-17.492503
1200,-14.375924
1400,-13.743905
1600,-16.448578
1800,-9.982405
2000,-15.384534
2200,-14.756503
2400,-14.208114
2600,-15.15228
2800,-14.839774
3000,-15.94259
3200,-15.952946
3400,-15.048867
3600,-18.082662
3800,-13.863019
4000,-14.663781
4200,-14.580103
4400,-13.212687
4600,-14.498439
4800,-15.87236
5000,-14.679579
5200,-17.093805
5400,-16.80296
5600,-14.40337
5800,-14.514589
6000,-14.82665
6200,-15.729118
6400,-13.025924
6600,-17.796
6800,-14.818058
7000,-14.128425
7200,-12.900318
7400,-15.391587
7600,-13.601475
7800,-14.719367
8000,-16.937219
8200,-14.27927
8400,-14.674058
8600,-13.893187
8800,-13.603949
9000,-13.75996
9200,-15.419193
9400,-15.473305
9600,-13.648077
9800,-17.023985
10000,-13.30008
10200,-14.951157
