step,reward
200,-11.929941
400,-15.768843
600,-19.963786
800,-16.122635
1000,-20.174484
1200,-15.123299
1400,-16.427871
1600,-16.973226
1800,-17.614835
2000,-14.90372
2200,-18.200768
2400,-15.668101
2600,-15.041237
2800,-14.493985
3000,-15.475892
3200,-15.367962
3400,-14.679786
3600,-15.137156
3800,-16.932025
4000,-16.056636
4200,-19.646084
4400,-17.919257
4600,-19.329091
4800,-19.587534
5000,-18.551142
5200,-16.651679
5400,-17.648462
5600,-15.704564
5800,-18.248346
6000,-15.661356
6200,-21.271074
6400,-20.964673
6600,-17.579554
6800,-18.110125
7000,-16.623985
7200,-22.124797
7400,-16.000328
7600,-12.876282
7800,-16.682923
8000,-14.300231
8200,-2.538758
8400,-15.948107
8600,-14.403444
8800,-13.983516
9000,-17.173177
9200,-17.034159
9400,-15.24648
9600,-16.662499
9800,-16.451054
10000,-14.802681
