step,reward
200,-14.977037
400,-14.831759
600,-15.847712
800,-15.786024
1000,-15.168917
1200,-14.245462
1400,-15.115435
1600,-15.981416
1800,-16.01268
2000,-15.334073
2200,-15.236402
2400,-14.641683
2600,-14.709974
2800,-15.2304
3000,-15.127092
3200,-13.895059
3400,-16.030821
3600,-14.642392
3800,-15.053916
4000,-15.358415
4200,-14.746682
4400,-14.201357
4600,-15.875532
4800,-16.003916
5000,-14.608627
5200,-15.986869
5400,-15.582487
5600,-14.346906
5800,-15.308913
6000,-14.917193
6200,-15.677523
6400,-15.702996
6600,-15.531144
6800,-15.915541
7000,-14.386683
7200,-17.060859
7400,-14.138612
7600,-14.103278
7800,-15.056233
8000,-15.417689
8200,-14.337867
8400,-15.40976
8600,-15.646532
8800,-14.59472
9000,-15.38843
9200,-17.175047
9400,-14.836977
9600,-14.698571
9800,-15.837511
10000,-15.451313
10200,-15.264323
