step,reward
200,-11.997834
400,-14.719676
600,-16.002615
800,-15.216519
1000,-14.743386
1200,-15.33879
1400,-15.888265
1600,-17.064016
1800,-16.412455
2000,-14.534473
2200,-16.788166
2400,-15.752299
2600,-15.852425
2800,-15.846931
3000,-15.808894
3200,-15.222094
3400,-15.301365
3600,-15.785954
3800,-16.965133
4000,-16.745147
4200,-16.267595
4400,-15.19693
4600,-16.937791
4800,-17.235275
5000,-15.973491
5200,-15.708714
5400,-16.949416
5600,-15.904772
5800,-15.739459
6000,-15.860716
6200,-17.192022
6400,-15.994756
6600,-15.944025
6800,-15.575992
7000,-15.115168
7200,-18.144319
7400,-15.858684
7600,-7.488509
7800,-16.008316
8000,-15.14015
8200,-5.68107
8400,-16.499239
8600,-16.074706
8800,-14.223529
9000,-16.749329
9200,-17.415832
9400,-16.099419
9600,-16.149933
9800,-16.620329
10000,-15.975042
