step,reward
200,-15.019242
400,-13.70802
600,-14.989381
800,-14.864704
1000,-15.090115
1200,-15.128188
1400,-15.338025
1600,-14.733868
1800,-16.444481
2000,-14.725291
2200,-15.732326
2400,-15.817735
2600,-15.764395
2800,-15.471244
3000,-14.477547
3200,-15.08534
3400,-16.511369
3600,-15.692989
3800,-15.787672
4000,-15.601923
4200,-15.249272
4400,-15.201445
4600,-15.796214
4800,-15.875776
5000,-15.441306
5200,-15.624524
5400,-16.599431
5600,-14.9077
5800,-14.620409
6000,-14.886927
6200,-14.956129
6400,-14.128161
6600,-15.909221
6800,-15.464177
7000,-13.755609
7200,-16.421672
7400,-15.21109
7600,-14.888934
7800,-14.916875
8000,-14.309957
8200,-14.401265
8400,-15.140766
8600,-14.990076
8800,-14.101201
9000,-14.638911
9200,-16.635205
9400,-15.225767
9600,-14.016296
9800,-14.742056
10000,-13.70221
