step,reward
200,-15.106404
400,-14.34571
600,-15.70664
800,-15.98633
1000,-16.10537
1200,-15.678974
1400,-15.735735
1600,-14.66284
1800,-16.474502
2000,-15.572874
2200,-16.976967
2400,-15.573642
2600,-14.643035
2800,-16.388866
3000,-14.490434
3200,-15.963575
3400,-16.143642
3600,-14.893353
3800,-15.107708
4000,-15.201545
4200,-15.765196
4400,-14.857229
4600,-16.544501
4800,-16.003937
5000,-15.487291
5200,-16.613867
5400,-15.11865
5600,-15.791584
5800,-13.459921
6000,-15.7388
6200,-15.942759
6400,-15.648462
6600,-16.142878
6800,-15.636704
7000,-14.470324
7200,-17.82948
7400,-15.671395
7600,-14.396562
7800,-14.919573
8000,-15.672418
8200,-14.076463
8400,-16.444414
8600,-15.551815
8800,-14.260633
9000,-16.097367
9200,-17.889416
9400,-14.788181
9600,-14.653255
9800,-15.066152
10000,-15.095171
