step,reward
200,-15.191245
400,-13.768027
600,-14.904179
800,-14.908555
1000,-14.960467
1200,-15.371657
1400,-14.978445
1600,-14.402794
1800,-15.203131
2000,-14.460311
2200,-14.718671
2400,-15.235637
2600,-14.791853
2800,-15.079436
3000,-14.366551
3200,-14.645411
3400,-15.27386
3600,-15.23567
3800,-14.298281
4000,-15.105286
4200,-14.21108
4400,-14.38717
4600,-14.843721
4800,-14.541714
5000,-14.912562
5200,-15.059299
5400,-16.103295
5600,-14.192957
5800,-14.493543
6000,-14.139971
6200,-15.144581
6400,-13.897922
6600,-14.319707
6800,-14.881271
7000,-14.073289
7200,-15.551544
7400,-14.573095
7600,-13.834468
7800,-14.351212
8000,-15.084349
8200,-14.253429
8400,-14.673201
8600,-14.728347
8800,-13.163193
9000,-14.409407
9200,-16.054763
9400,-14.723471
9600,-13.546426
9800,-14.390254
10000,-13.418731
