step,reward
200,-14.818511
400,-13.85331
600,-16.007984
800,-15.318449
1000,-14.615624
1200,-14.591419
1400,-15.066478
1600,-14.529844
1800,-15.560414
2000,-14.968759
2200,-15.932647
2400,-14.981751
2600,-15.396909
2800,-15.263199
3000,-14.711449
3200,-14.9349
3400,-14.712233
3600,-15.248399
3800,-14.669157
4000,-15.493084
4200,-15.277095
4400,-14.545707
4600,-15.108477
4800,-14.907944
5000,-15.025835
5200,-15.214763
5400,-15.825682
5600,-13.964713
5800,-15.351419
6000,-15.016527
6200,-16.05224
6400,-13.505499
6600,-14.818065
6800,-14.839531
7000,-13.662073
7200,-15.922497
7400,-14.792951
7600,-14.78587
7800,-13.448248
8000,-15.300472
8200,-13.609904
8400,-15.745219
8600,-15.488657
8800,-14.326358
9000,-14.45346
9200,-16.075369
9400,-14.995477
9600,-13.706655
9800,-14.812683
10000,-14.646155
10200,-15.022123
