step,reward
200,-14.425322406915168
400,-13.633799276626696
600,-15.176182133093894
800,-14.143179713079729
1000,-14.720629361811568
1200,-14.824964863392708
1400,-14.853493096061664
1600,-14.526240498081963
1800,-9.911602055935013
2000,-14.48062412388288
2200,-14.465210472815988
2400,-14.320162611877024
2600,-15.309591483920695
2800,-14.958510834658512
3000,-15.00122089516852
3200,-13.30610595654193
3400,-15.135446351440565
3600,-15.494658654905914
3800,-14.034504469853397
4000,-15.110034276883551
4200,-14.682553730456085
4400,-13.685439332316784
4600,-14.918560490734917
4800,-15.27592554042289
5000,-14.45282392387985
5200,-15.615734692474314
5400,-15.30364357369362
5600,-14.411375476241496
5800,-14.734931346713282
6000,-14.397354370802534
6200,-15.570563649318554
6400,-13.812463110884615
6600,-14.990531341603095
6800,-14.741528610643536
7000,-14.63076178857563
7200,-14.64451726630875
7400,-14.612795352025262
7600,-13.984166645113891
7800,-14.976706602991731
8000,-15.946574240105571
8200,-14.356113155032808
8400,-14.72400295412006
8600,-14.352595172534423
8800,-13.747069507693856
9000,-14.073919061014557
9200,-15.57293863597981
9400,-14.166485929686985
9600,-14.539908149606033
9800,-15.139761768945773
10000,-13.764655177181448
