step,reward
200,-14.900543
400,-13.699062
600,-15.312939
800,-14.659634
1000,-14.684994
1200,-15.548139
1400,-14.045793
1600,-14.393515
1800,-14.548602
2000,-13.983744
2200,-13.753534
2400,-14.512926
2600,-14.748272
2800,-14.388711
3000,-15.021054
3200,-15.306771
3400,-14.75873
3600,-14.659525
3800,-15.216573
4000,-15.243468
4200,-15.07683
4400,-14.864632
4600,-14.283702
4800,-14.924201
5000,-15.430745
5200,-14.265705
5400,-14.791937
5600,-13.124585
5800,-14.611583
6000,-14.162491
6200,-14.888724
6400,-13.47054
6600,-15.470019
6800,-14.621857
7000,-13.91208
7200,-14.591932
7400,-14.067155
7600,-13.778846
7800,-13.597679
8000,-14.639292
8200,-0.343348
8400,-15.528035
8600,-14.523811
8800,-14.072894
9000,-13.684191
9200,-14.711213
9400,-14.339643
9600,-12.464561
9800,-14.620204
10000,-13.473447
