step,reward
200,-14.328824
400,-13.961677
600,-14.735912
800,-14.946785
1000,-14.641727
1200,-15.119144
1400,-14.29761
1600,-14.988379
1800,-14.739941
2000,-14.698093
2200,-14.939691
2400,-14.566062
2600,-15.48826
2800,-15.097879
3000,-13.965576
3200,-14.155488
3400,-14.820693
3600,-14.852496
3800,-14.922556
4000,-15.037939
4200,-14.698026
4400,-14.168459
4600,-15.00009
4800,-14.626194
5000,-14.710118
5200,-14.274441
5400,-14.901209
5600,-13.604422
5800,-14.762831
6000,-14.654539
6200,-15.70277
6400,-14.115845
6600,-14.401124
6800,-14.878781
7000,-13.955211
7200,-14.199752
7400,-14.065662
7600,-14.489731
7800,-12.797463
8000,-15.556753
8200,-14.129453
8400,-14.490642
8600,-15.055934
8800,-13.542833
9000,-14.334983
9200,-15.438119
9400,-14.284227
9600,-13.932657
9800,-15.044224
10000,-14.053371
