step,reward
200,-11.547164
400,-14.305998
600,-14.861877
800,-14.863282
1000,-14.247563
1200,-14.869626
1400,-14.713428
1600,-15.573626
1800,-14.912491
2000,-14.726043
2200,-15.608481
2400,-14.797663
2600,-16.793872
2800,-15.134029
3000,-17.561186
3200,-15.573986
3400,-16.606174
3600,-17.812262
3800,-16.697314
4000,-16.659949
4200,-16.934735
4400,-15.105643
4600,-18.405837
4800,-17.484546
5000,-16.796266
5200,-14.848983
5400,-17.477062
5600,-14.637018
5800,-15.301506
6000,-14.577968
6200,-15.85666
6400,-15.154723
6600,-14.181405
6800,-14.748676
7000,-14.536224
7200,-16.297033
7400,-14.366708
7600,-13.719036
7800,-14.416644
8000,-14.374774
8200,-2.530325
8400,-14.846327
8600,-14.204743
8800,-13.990635
9000,-15.210372
9200,-15.831803
9400,-14.707271
9600,-14.67867
9800,-14.83819
10000,-14.454814
