step,reward
200,-13.752881
400,-12.080566
600,-6.190486
800,-14.615717
1000,-13.875807
1200,-14.028586
1400,-14.259186
1600,-13.318354
1800,-15.35175
2000,-13.282672
2200,-13.095747
2400,-14.707108
2600,-13.966731
2800,-13.668368
3000,-13.282977
3200,-13.164111
3400,-13.801245
3600,-14.226598
3800,-13.063391
4000,-14.366057
4200,-13.455278
4400,-13.585233
4600,-15.324582
4800,-14.065017
5000,-14.919536
5200,-13.00359
5400,-13.527323
5600,-13.908205
5800,-12.790634
6000,-13.14244
6200,-13.57724
6400,-14.229463
6600,-13.489683
6800,-13.390402
7000,-13.879575
7200,-14.957327
7400,-15.173616
7600,-13.270046
7800,-14.119713
8000,-13.632493
8200,-14.631385
8400,-14.175503
8600,-3.524202
8800,-15.326749
9000,-15.454514
9200,-12.589091
9400,-3.362329
9600,-17.411324
9800,-13.297004
10000,-8.041065
