step,reward
200,-13.752196
400,-12.069305
600,-6.272191
800,-14.615904
1000,-13.813589
1200,-13.871752
1400,-14.089728
1600,-13.91208
1800,-14.874301
2000,-13.146336
2200,-13.006732
2400,-14.316431
2600,-14.038056
2800,-13.748552
3000,-13.23761
3200,-13.27294
3400,-13.439513
3600,-14.051428
3800,-13.271845
4000,-14.183651
4200,-13.906142
4400,-13.323016
4600,-14.774864
4800,-13.951691
5000,-14.728943
5200,-12.947767
5400,-13.555368
5600,-13.636802
5800,-13.146474
6000,-13.191166
6200,-13.906731
6400,-14.455865
6600,-13.459849
6800,-13.310899
7000,-13.865559
7200,-14.280752
7400,-14.588163
7600,-13.292421
7800,-13.848025
8000,-13.84555
8200,-14.735589
8400,-14.058262
8600,-3.668775
8800,-14.460641
9000,-15.252209
9200,-12.750035
9400,-3.734884
9600,-16.008931
9800,-13.970976
10000,-13.05894
10200,-14.38129
