step,reward
200,-12.487746
400,-15.924061
600,-19.956325
800,-16.105595
1000,-19.273781
1200,-15.124387
1400,-15.62718
1600,-16.992343
1800,-16.320756
2000,-14.735806
2200,-16.745783
2400,-15.563915
2600,-13.653576
2800,-14.352493
3000,-15.764189
3200,-15.461268
3400,-14.502933
3600,-17.337243
3800,-17.05072
4000,-16.284943
4200,-19.626228
4400,-17.360386
4600,-20.989853
4800,-19.683268
5000,-18.23065
5200,-17.948424
5400,-17.682744
5600,-20.156686
5800,-18.460636
6000,-16.797268
6200,-21.084804
6400,-20.474008
6600,-14.817793
6800,-17.576535
7000,-16.57769
7200,-22.191618
7400,-14.523005
7600,-13.362362
7800,-14.743659
8000,-14.558335
8200,-7.713295
8400,-16.030175
8600,-14.300835
8800,-13.820361
9000,-18.979709
9200,-17.538982
9400,-15.217021
9600,-16.219092
9800,-15.850796
10000,-14.802552
