step,reward
200,-14.907949
400,-13.58654
600,-14.935764
800,-14.365536
1000,-15.122025
1200,-15.099314
1400,-14.173592
1600,-15.004197
1800,-14.794901
2000,-14.11455
2200,-13.705093
2400,-14.343217
2600,-15.125398
2800,-14.622795
3000,-15.424151
3200,-14.927331
3400,-14.947631
3600,-14.687023
3800,-14.614038
4000,-14.311936
4200,-14.450195
4400,-14.341731
4600,-13.959846
4800,-14.42472
5000,-14.624961
5200,-14.553366
5400,-15.452892
5600,-13.053352
5800,-14.537876
6000,-14.280677
6200,-14.55771
6400,-12.911938
6600,-15.291152
6800,-14.840547
7000,-13.954056
7200,-14.573995
7400,-14.637358
7600,-14.684187
7800,-13.41294
8000,-14.475785
8200,-0.34405
8400,-15.411177
8600,-14.416425
8800,-12.845692
9000,-13.651033
9200,-15.937179
9400,-14.904981
9600,-12.789016
9800,-14.676707
10000,-13.698568
10200,-14.344362
