step,reward
200,-14.413309
400,-13.773214
600,-14.484958
800,-14.624989
1000,-15.080224
1200,-14.869527
1400,-13.72873
1600,-14.444236
1800,-15.543885
2000,-14.548793
2200,-14.008382
2400,-14.167644
2600,-14.680331
2800,-14.689309
3000,-15.341766
3200,-14.620075
3400,-14.632017
3600,-14.656652
3800,-13.937763
4000,-14.131579
4200,-15.054744
4400,-13.580131
4600,-13.853498
4800,-14.622186
5000,-14.702777
5200,-14.425961
5400,-15.030217
5600,-12.58554
5800,-14.570865
6000,-14.775387
6200,-15.000507
6400,-12.596451
6600,-15.273498
6800,-14.902957
7000,-14.121808
7200,-13.580275
7400,-14.772222
7600,-13.45043
7800,-13.941104
8000,-14.535184
8200,-0.344101
8400,-15.464012
8600,-14.719888
8800,-13.240968
9000,-13.542063
9200,-15.342147
9400,-14.743544
9600,-13.285957
9800,-15.153468
10000,-13.819963
10200,-13.229964
