step,reward
200,-14.376018
400,-14.278048
600,-15.417181
800,-14.338645
1000,-15.453874
1200,-14.069598
1400,-13.989385
1600,-14.358125
1800,-14.240114
2000,-14.730166
2200,-14.355336
2400,-13.926953
2600,-15.362597
2800,-14.894073
3000,-14.940496
3200,-13.561877
3400,-15.391027
3600,-15.732612
3800,-13.928707
4000,-14.611132
4200,-14.696083
4400,-13.158115
4600,-14.791785
4800,-15.089644
5000,-14.728336
5200,-15.092194
5400,-16.141804
5600,-14.498837
5800,-14.868709
6000,-14.661532
6200,-15.09401
6400,-13.13615
6600,-15.03952
6800,-14.680395
7000,-14.454303
7200,-15.690651
7400,-14.559321
7600,-13.729626
7800,-15.234428
8000,-15.611716
8200,-14.305085
8400,-14.665979
8600,-14.072871
8800,-14.238039
9000,-13.929348
9200,-16.072542
9400,-13.770381
9600,-13.369393
9800,-16.026631
10000,-13.891928
10200,-14.37018
