step,reward
200,-14.091084
400,-13.951413
600,-15.102266
800,-14.503602
1000,-14.632121
1200,-14.062963
1400,-14.005673
1600,-14.537355
1800,-14.099568
2000,-15.20714
2200,-14.218965
2400,-13.979613
2600,-15.655728
2800,-15.310168
3000,-14.436077
3200,-14.08761
3400,-14.929844
3600,-15.875685
3800,-14.195191
4000,-15.556164
4200,-14.615467
4400,-14.154292
4600,-14.622367
4800,-15.221516
5000,-14.460199
5200,-15.749371
5400,-15.547077
5600,-14.310679
5800,-15.084968
6000,-14.610777
6200,-15.643347
6400,-13.594076
6600,-14.924996
6800,-14.663632
7000,-14.387698
7200,-15.732888
7400,-14.771685
7600,-13.148734
7800,-14.588951
8000,-16.474107
8200,-14.090792
8400,-14.504068
8600,-14.649137
8800,-13.613422
9000,-13.648231
9200,-16.514054
9400,-13.79927
9600,-14.054418
9800,-16.024309
10000,-14.01465
10200,-14.071155
