step,reward
200,-14.353201
400,-13.801271
600,-15.019061
800,-14.596579
1000,-14.667753
1200,-16.406715
1400,-14.668037
1600,-15.060679
1800,-15.118643
2000,-14.550374
2200,-14.66927
2400,-15.320084
2600,-15.338048
2800,-14.736781
3000,-15.57216
3200,-15.417528
3400,-14.670952
3600,-15.573321
3800,-14.770099
4000,-15.862698
4200,-17.740096
4400,-15.119364
4600,-15.787841
4800,-15.874288
5000,-17.977736
5200,-18.871948
5400,-17.567566
5600,-13.547592
5800,-15.056589
6000,-13.849282
6200,-15.195
6400,-13.155215
6600,-17.579963
6800,-14.59651
7000,-13.783483
7200,-14.735541
7400,-14.815746
7600,-15.761722
7800,-14.223707
8000,-14.509854
8200,-0.313922
8400,-14.783188
8600,-14.830362
8800,-13.805659
9000,-14.119225
9200,-18.750068
9400,-15.842765
9600,-14.460649
9800,-15.373191
10000,-13.170339
