step,reward
200,-14.196258
400,-15.011393
600,-14.327067
800,-15.02543
1000,-14.470023
1200,-15.114622
1400,-14.431676
1600,-14.308269
1800,-15.343315
2000,-14.799601
2200,-14.577467
2400,-14.251627
2600,-13.83601
2800,-14.645825
3000,-14.879874
3200,-14.332845
3400,-15.28528
3600,-14.642914
3800,-14.895282
4000,-15.507725
4200,-14.384622
4400,-14.631217
4600,-15.95175
4800,-15.328663
5000,-15.158514
5200,-15.538309
5400,-14.674947
5600,-15.292482
5800,-15.025935
6000,-14.144454
6200,-15.259491
6400,-15.385052
6600,-14.233702
6800,-15.249873
7000,-14.76365
7200,-15.186419
7400,-14.360324
7600,-14.22828
7800,-14.704056
8000,-14.473933
8200,-13.60107
8400,-14.383736
8600,-14.175426
8800,-14.173597
9000,-14.063627
9200,-15.750581
9400,-14.377857
9600,-14.673612
9800,-15.099581
10000,-14.710026
