step,reward
200,-13.961156
400,-14.160111
600,-15.40933
800,-14.344459
1000,-15.446104
1200,-14.552714
1400,-14.385769
1600,-14.480084
1800,-15.104822
2000,-15.430247
2200,-15.772328
2400,-14.386848
2600,-16.222091
2800,-15.251023
3000,-14.997105
3200,-14.52672
3400,-15.115887
3600,-16.372021
3800,-14.94712
4000,-16.455124
4200,-15.757807
4400,-14.163672
4600,-15.191243
4800,-16.256157
5000,-15.513618
5200,-16.320238
5400,-16.410479
5600,-13.795726
5800,-14.438135
6000,-15.263038
6200,-15.549985
6400,-14.142524
6600,-15.307467
6800,-14.905941
7000,-14.497842
7200,-16.591195
7400,-15.807474
7600,-14.614372
7800,-15.410596
8000,-15.539966
8200,-14.434536
8400,-14.19737
8600,-14.587049
8800,-14.771489
9000,-14.164843
9200,-17.22432
9400,-15.403611
9600,-14.157344
9800,-15.676826
10000,-14.664747
