step,reward
200,-15.261097
400,-16.825839
600,-17.4513
800,-15.119265
1000,-17.00796
1200,-17.77699
1400,-16.972926
1600,-17.257337
1800,-18.429239
2000,-14.821417
2200,-19.444755
2400,-17.362023
2600,-17.166647
2800,-15.489868
3000,-17.078844
3200,-15.637318
3400,-16.559918
3600,-18.411041
3800,-19.648541
4000,-20.422382
4200,-18.264697
4400,-15.575012
4600,-18.485048
4800,-18.90906
5000,-16.570181
5200,-17.328079
5400,-19.606462
5600,-17.365406
5800,-18.95039
6000,-16.635517
6200,-20.54271
6400,-18.81405
6600,-16.841645
6800,-14.511069
7000,-14.327204
7200,-21.978952
7400,-18.316198
7600,-13.179819
7800,-16.918277
8000,-14.38454
8200,-5.807869
8400,-20.179017
8600,-15.772962
8800,-18.791278
9000,-19.042653
9200,-20.305017
9400,-15.861427
9600,-17.30758
9800,-19.20019
10000,-14.824119
