step,reward
200,-13.907031
400,-13.48779
600,-15.485152
800,-14.609812
1000,-16.045973
1200,-15.044757
1400,-14.527892
1600,-14.223267
1800,-16.17965
2000,-16.063164
2200,-16.061577
2400,-15.493874
2600,-14.970399
2800,-16.119351
3000,-15.13456
3200,-15.195082
3400,-15.932238
3600,-14.469379
3800,-13.807986
4000,-13.370899
4200,-14.900663
4400,-13.547203
4600,-15.89955
4800,-14.576845
5000,-15.080748
5200,-15.593971
5400,-14.382054
5600,-15.294275
5800,-14.251768
6000,-15.296722
6200,-15.633053
6400,-14.54085
6600,-15.121662
6800,-15.922835
7000,-14.874443
7200,-16.544854
7400,-14.826138
7600,-14.623286
7800,-13.609668
8000,-15.354838
8200,-13.835998
8400,-15.328677
8600,-15.502627
8800,-13.472462
9000,-14.112253
9200,-17.059168
9400,-14.624016
9600,-14.422848
9800,-15.056439
10000,-14.143794
