step,reward
200,-13.326276
400,-14.088427
600,-14.984878
800,-14.440268
1000,-15.060886
1200,-15.192921
1400,-13.230255
1600,-14.963157
1800,-14.759123
2000,-13.792805
2200,-14.653815
2400,-14.545691
2600,-14.531754
2800,-14.710057
3000,-15.134389
3200,-15.069769
3400,-14.536129
3600,-14.876461
3800,-14.422162
4000,-15.018585
4200,-14.815004
4400,-14.332496
4600,-13.8594
4800,-13.691084
5000,-14.72452
5200,-14.671783
5400,-15.285861
5600,-12.834215
5800,-14.574311
6000,-14.266959
6200,-14.648084
6400,-13.107025
6600,-15.135565
6800,-14.719449
7000,-13.943068
7200,-14.25414
7400,-14.297705
7600,-14.235165
7800,-13.593376
8000,-15.184416
8200,-0.343176
8400,-15.430759
8600,-14.808883
8800,-13.958532
9000,-13.767158
9200,-15.776313
9400,-14.656157
9600,-13.381169
9800,-15.156198
10000,-13.365113
10200,-14.057985
