step,reward
200,-15.074507
400,-13.466087
600,-16.484271
800,-14.80158
1000,-14.355084
1200,-16.420025
1400,-14.33001
1600,-16.411828
1800,-18.166739
2000,-14.267953
2200,-16.535694
2400,-15.524458
2600,-18.748291
2800,-15.141095
3000,-16.711394
3200,-15.314615
3400,-15.721849
3600,-17.924412
3800,-19.623193
4000,-15.60622
4200,-16.71001
4400,-17.555281
4600,-17.138228
4800,-16.456466
5000,-19.336912
5200,-18.921529
5400,-18.090723
5600,-14.028563
5800,-15.045078
6000,-14.726207
6200,-14.411324
6400,-12.47794
6600,-18.899003
6800,-14.716035
7000,-14.091537
7200,-20.543305
7400,-16.878468
7600,-13.902377
7800,-15.188081
8000,-13.728767
8200,-0.342588
8400,-15.205791
8600,-15.02451
8800,-15.923256
9000,-14.070212
9200,-18.324738
9400,-18.522615
9600,-14.236956
9800,-15.091199
10000,-14.336261
