step,reward
200,-13.486193
400,-12.184871
600,-6.264372
800,-14.445911
1000,-13.250195
1200,-13.883446
1400,-13.490585
1600,-14.096465
1800,-14.258242
2000,-13.247665
2200,-12.968061
2400,-14.019908
2600,-14.199832
2800,-13.497673
3000,-13.139648
3200,-12.998116
3400,-13.070309
3600,-13.866734
3800,-12.991788
4000,-14.13888
4200,-13.752179
4400,-13.500343
4600,-14.790393
4800,-13.873718
5000,-14.28742
5200,-13.15413
5400,-13.720646
5600,-13.666719
5800,-13.408861
6000,-12.887579
6200,-13.374329
6400,-14.395139
6600,-13.545516
6800,-13.339146
7000,-14.150458
7200,-14.416732
7400,-14.828779
7600,-13.403611
7800,-13.858603
8000,-13.837835
8200,-14.553956
8400,-14.169797
8600,-3.602039
8800,-15.096471
9000,-15.058054
9200,-12.813214
9400,-5.020555
9600,-15.911191
9800,-13.299494
10000,-13.766639
