Offered_Load_pps,TDMA_Throughput_Mbps,TDMA_Delay_s,TDMA_Drops,TDMA_Collisions,CSMA_Throughput_Mbps,CSMA_Delay_s,CSMA_Drops,CSMA_Collisions
50,0.16096,0.00654141,360.0,0.0,0.17712,0.00149734,256.0,0.0
100,0.29608,0.00787829,1062.0,0.0,0.31432,0.00170329,1096.0,3.0
150,0.47472,0.00838047,1140.0,0.0,0.51208,0.00179143,1075.0,2.0
200,0.6312,0.00738576,1703.0,0.0,0.6228,0.0018142,2038.0,5.0
250,0.7532,0.00864149,2350.0,0.0,0.84352,0.00184642,1904.0,11.0
300,1.00696,0.00781762,1650.0,0.0,0.97464,0.00186028,2856.0,9.0
350,1.05992,0.00895509,3428.0,0.0,1.14768,0.00187542,3232.0,15.0
400,1.2052,0.00990755,3897.0,0.0,1.30184,0.00188403,3897.0,19.0
450,1.378,0.01000381,4161.0,0.0,1.58584,0.00192506,2776.0,24.0
500,1.38776,0.01001818,6623.0,0.0,1.74096,0.00192056,3418.0,33.0
550,1.85472,0.00891638,3171.0,0.0,1.68256,0.00193476,6434.0,48.0
600,1.9428,0.00949335,4386.0,0.0,2.04712,0.0019681,4320.0,63.0
650,2.13408,0.00828412,4482.0,0.0,2.26368,0.00198716,4272.0,65.0
700,2.2352,0.00826897,5773.0,0.0,2.29384,0.00198832,6365.0,93.0
750,2.33712,0.00863305,6709.0,0.0,2.39456,0.0020479,7451.0,142.0
800,2.53208,0.00904474,6647.0,0.0,2.59016,0.00203267,7333.0,150.0
850,2.53672,0.01089529,8710.0,0.0,2.95464,0.0019864,5591.0,97.0
900,2.83328,0.01030024,7568.0,0.0,3.1016,0.00205069,6002.0,174.0
950,2.99008,0.01041849,8151.0,0.0,3.14904,0.00207861,7800.0,194.0
1000,2.85096,0.01056331,12639.0,0.0,3.45568,0.00209502,6400.0,206.0
