step,reward
200,-13.475447
400,-12.449351
600,-5.968587
800,-15.265571
1000,-14.277892
1200,-13.905256
1400,-13.563172
1600,-13.057236
1800,-14.805046
2000,-13.300004
2200,-13.120607
2400,-14.506116
2600,-13.719554
2800,-13.524018
3000,-13.204944
3200,-13.059381
3400,-13.953396
3600,-14.370598
3800,-12.796632
4000,-14.775592
4200,-12.996306
4400,-13.821807
4600,-15.506018
4800,-14.178156
5000,-15.329323
5200,-12.916064
5400,-13.694257
5600,-14.007145
5800,-12.068843
6000,-13.055348
6200,-12.743339
6400,-14.229342
6600,-13.521474
6800,-13.307427
7000,-13.865314
7200,-14.94599
7400,-15.168738
7600,-13.363718
7800,-14.177841
8000,-13.723406
8200,-14.455688
8400,-14.253873
8600,-3.498103
8800,-15.433586
9000,-15.545413
9200,-12.791846
9400,-3.332558
9600,-17.443385
9800,-13.47572
10000,-8.585508
